DOPLogNumber,Project,GearType,Year,Month,Date,Station,Region,SerialNumber,Species,Time,Depth,TempSurf,CondSurf,PPTSurf,TempBott,CondBott,PPTBott,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,FullnessRank,DigestionRank,Debris (sand/silt/mud),Unid animal material,Unid plant material
0158,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,107,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,1.0268,Y,54,0.0123,4,4,,1,
0159,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,108,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.7284,Y,48,0.0048,3,4,,1,
0160,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,109,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.8216,Y,50,0.0057,3,4,,1,
0161,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,110,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.7544,Y,47,0.0070,2,4,,1,
0162,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,111,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.7668,Y,49,0.0092,3,3,,1,
0163,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,112,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.8697,Y,50,0.0056,3,2,,1,
0169,EDSM,KT,2018,9,20-Sep-18,19-08-LSSC03,Sac DW Ship Channel,123,Delta Smelt,8:25,10.0,20.2,418,0.19,,,,45,18.8,0.9186,Y,51,0.0049,1,3,,1,
0170,EDSM,KT,2018,9,26-Sep-18,19-09-LSSC05,Sac DW Ship Channel,124,Delta Smelt,10:17,10.2,20.7,388,0.17,,,,32,40.5,1.0420,Y,52,0.0081,3,4,,1,
0172,EDSM,KT,2018,9,26-Sep-18,19-09-LSSC05,Sac DW Ship Channel,126,Delta Smelt,10:17,10.2,20.7,388,0.17,,,,32,40.5,0.7555,Y,48,0.0048,2,4,,1,
0173,EDSM,KT,2018,9,26-Sep-18,19-09-LSSC05,Sac DW Ship Channel,127,Delta Smelt,10:17,10.2,20.7,388,0.17,,,,32,40.5,0.5645,Y,44,0.0061,2,2,,1,
0175,EDSM,KT,2018,9,27-Sep-18,19-09-LSSC02,Sac DW Ship Channel,129,Delta Smelt,9:21,10.6,20.8,431,0.19,,,,39,33.4,1.0312,Y,50,0.0087,2,4,,1,
0177,EDSM,KT,2018,9,27-Sep-18,19-09-LSSC02,Sac DW Ship Channel,131,Delta Smelt,9:21,10.6,20.8,431,0.19,,,,39,33.4,0.9314,Y,48,0.0058,3,4,,1,
0178,EDSM,KT,2018,9,27-Sep-18,19-09-LSSC02,Sac DW Ship Channel,132,Delta Smelt,9:21,10.6,20.8,431,0.19,,,,39,33.4,0.6111,Y,44,0.0056,3,4,,1,
0179,EDSM,KT,2018,9,27-Sep-18,19-09-LSSC02,Sac DW Ship Channel,133,Delta Smelt,9:21,10.6,20.8,431,0.19,,,,39,33.4,0.5093,Y,41,0.0048,2,4,,1,
0181,EDSM,KT,2018,9,27-Sep-18,19-09-LSSC02,Sac DW Ship Channel,135,Delta Smelt,9:21,10.6,20.8,431,0.19,,,,39,33.4,0.9829,Y,50,0.0104,3,3,,1,
0183,EDSM,KT,2018,10,04-Oct-18,19-10-LSSC01,Sac DW Ship Channel,137,Delta Smelt,8:12,8.9,20.6,509,0.23,,,,38,21.9,0.8667,Y,49,0.0073,3,4,,1,1
0196,EDSM,KT,2018,11,07-Nov-18,19-15-SM01,Suisun Marsh,191,Delta Smelt,10:10,5.7,16.9,8411,4.66,,,,40,30.1,1.6228,Y,61,0.0311,4,2,,,1
0198,EDSM,KT,2018,11,26-Nov-18,19-18-SM02,Suisun Marsh,193,Delta Smelt,11:03,5.6,12.6,10239,5.76,,,,25,51.8,1.7772,Y,60,0.0427,4,3,,1,
0202,EDSM,KT,2018,10,09-Oct-18,19-11-LSR01,Lower Sacramento,324,Delta Smelt,8:28,8.8,18.7,4065,2.13,,,,95,16.1,1.3333,Y,60,0.0174,2,2,,1,
0204,EDSM,KT,2018,10,30-Oct-18,19-14-LSR02,Lower Sacramento,326,Delta Smelt,9:48,10.5,17.0,2606,1.32,,,,47,24.6,1.6134,Y,61,,1,2,,1,
0205,EDSM,KT,2018,11,29-Nov-18,19-18-LSR03,Lower Sacramento,395,Delta Smelt,9:20,5.7,13.2,6312,3.42,,,,95,14.0,1.7165,Y,64,0.0166,3,3,,1,
0208,EDSM,KT,2018,10,17-Oct-18,19-12-LSSC04,Sac DW Ship Channel,398,Delta Smelt,12:41,11.0,18.1,338,0.15,,,,29,49.2,1.2743,Y,56,0.0085,2,3,,1,1
0209,EDSM,KT,2018,10,17-Oct-18,19-12-LSSC04,Sac DW Ship Channel,399,Delta Smelt,12:41,11.0,18.1,338,0.15,,,,29,49.2,0.8241,Y,49,0.0062,2,3,,1,
0212,EDSM,KT,2018,10,17-Oct-18,19-12-LSSC04,Sac DW Ship Channel,402,Delta Smelt,12:41,11.0,18.1,338,0.15,,,,29,49.2,0.7855,Y,49,0.0021,2,3,,1,
0213,EDSM,KT,2018,10,17-Oct-18,19-12-LSSC04,Sac DW Ship Channel,403,Delta Smelt,12:41,11.0,18.1,338,0.15,,,,29,49.2,0.7665,Y,49,0.0040,2,3,,1,
0215,EDSM,KT,2018,10,17-Oct-18,19-12-LSSC04,Sac DW Ship Channel,405,Delta Smelt,12:41,11.0,18.1,338,0.15,,,,29,49.2,1.1767,Y,56,0.0074,3,3,,1,
0216,EDSM,KT,2018,10,17-Oct-18,19-12-LSSC04,Sac DW Ship Channel,406,Delta Smelt,12:41,11.0,18.1,338,0.15,,,,29,49.2,1.1289,Y,52,0.0047,1,4,,1,
0219,EDSM,KT,2018,11,01-Nov-18,19-14-LSSC06,Sac DW Ship Channel,409,Delta Smelt,7:51,8.5,16.9,580,0.26,,,,34,20.7,0.9412,Y,57,0.0066,1,4,,1,
0223,EDSM,KT,2018,11,07-Nov-18,19-15-LSSC01,Sac DW Ship Channel,413,Delta Smelt,8:15,9.2,16.4,494,0.22,,,,36,26.7,0.9947,Y,53,0.0052,2,3,,1,
0224,EDSM,KT,2018,11,07-Nov-18,19-15-LSSC01,Sac DW Ship Channel,414,Delta Smelt,8:32,10.2,16.5,519,0.23,,,,37,31.4,0.8610,Y,50,0.0051,2,4,,1,
0240,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,113,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.7458,Y,47,0.0064,3,3,,1,
0242,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,115,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.3785,Y,39,0.0046,3,3,,1,
0243,EDSM,KT,2018,9,10-Sep-18,19-07-LSSC02,Sac DW Ship Channel,116,Delta Smelt,11:31,10.2,21.5,406,0.18,,,,33,32.1,0.4448,Y,51,0.0042,2,4,,1,
