DOPLogNumber,Project,SurveyDate,Station,Species,SerialNumber,PreyType,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3.2,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.3,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,juvenile Gammarus,1.9,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,juvenile Gammarus,1.8,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,juvenile Gammarus,1.8,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Unid Gammaroidea,4.6,ED,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Unid Gammaroidea,4.6,ED,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Unid Gammaroidea,3.2,ED,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Unid Gammaroidea,2.1,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.3,,0.00027
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3,,0.00036
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.4,,0.00026
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,4.1,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.1,,0.00027
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.5,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3.2,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.8,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.8,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.9,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3.2,,0.00078
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3.2,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.1,,0.00025
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Unid Gammaroidea,2.3,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3.3,,0.00067
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.9,,0.00052
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,3.9,,
0045,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0045,Gammarus type,Gammarus spp.,2.3,,
0046,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0046,Gammarus type,Unid Gammaroidea,4.6,,
0046,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0046,Gammarus type,juvenile Gammarus,1.9,,
0046,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0046,Gammarus type,Gammarus spp.,5.3,,
0047,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0047,Gammarus type,Unid Gammaroidea,3.2,S,
0047,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0047,Corophium type,juvenile Corophium,1.1,,
0048,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0048,Corophium type,juvenile Corophium,1,,
0049,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0049,Gammarus type,juvenile Gammarus,3.2,ED,
0049,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0049,Gammarus type,Gammarus spp.,4.6,ED,
0049,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0049,Gammarus type,Unid Gammaroidea,3.2,S,
0049,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0049,Gammarus type,juvenile Gammarus,3.2,ED,
0050,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0050,Gammarus type,Gammarus spp.,4.6,,
0051,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0051,Gammarus type,Unid Gammarus type,4.6,ED,
0051,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0051,Gammarus type,Gammarus spp.,4.6,S,
0051,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0051,Gammarus type,Unid Gammaroidea,4.6,ED,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Unid gammarus type,3.2,ED,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3.7,,0.00135
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3.1,,0.00065
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Unid Gammaroidea,4.6,ED,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Corophium type,A. spinicorne,2.5,,0.00054
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3.2,ED,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,4.1,,
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3,,0.00077
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,Gammarus spp.,3.3,,0.00084
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Corophium type,A. Spinicorne,2.6,,0.00048
0052,EDSM,10-Oct-17,18-11-LSR01,Delta Smelt,0052,Gammarus type,juvenile Gammarus,1.6,,
